N,p1,p2,p3
10000,0.18932780787406026,-0.003516216259225556,0.14248312637186283
20000,0.17998477440500749,-0.00028288732291909647,0.14408404830418425
30000,0.1500741610594663,-0.0005404238391657869,0.14461124556589205
40000,0.1507058657819742,0.00029435746838549334,0.14491347189592013
50000,0.15067601835903027,0.0005451453913133952,0.14471428128763467
60000,0.12606336087612569,-0.05768581633434776,0.1292853054273028
70000,0.15037040257281808,0.00010999807709011087,0.14434032744451597
80000,0.12660879470879088,-0.057862843987084384,0.12951561746172857
90000,0.15043211535993584,1.7474321528359173e-05,0.14433437693949464
100000,0.15040940561038088,-0.00022440858961996114,0.14432952351730755
110000,0.15014764600730682,-0.0007671502211863061,0.14413771975492218
120000,0.1502769173704144,-0.0003093749079880356,0.14417411897228066
130000,0.14590976862188756,-0.0006323674352265328,0.1443751155752264
140000,0.1460373574594846,-0.00024066135931082738,0.14442805576097434
150000,0.14617480021460824,-0.00019559670949449926,0.14454041649135238
160000,0.14628221199875718,9.651790726291381e-05,0.1446199488999641
170000,0.146351718559606,-7.118097783002423e-05,0.14470424690728195
180000,0.14633695922781517,-0.0003580132097813867,0.14472252587427034
190000,0.14636542638215544,-0.0001529447457369118,0.14471016527179328
200000,0.14629413558274665,-0.0003456863343115795,0.14466456043644788
210000,0.1461836716834518,-0.00047360540042776423,0.1445635725086367
220000,0.14630067750511383,-8.25266704528683e-05,0.14461425323876242
230000,0.1461215061039105,-0.00019534580137264807,0.1444475381124125
240000,0.14615020493695657,-3.381318142563803e-05,0.14444649076900132
250000,0.14615446422166478,3.7562283808401094e-05,0.14443412728293317
260000,0.1462159956871435,0.0001325914280373829,0.14447654849570246
270000,0.14623856525945061,8.79508107564924e-05,0.14450585803554772
280000,0.14632928101887363,3.678492162840291e-05,0.1445977440818911
290000,0.1463395678400389,4.989764050064617e-05,0.14460068171482537
300000,0.14634404965680892,-8.014392663566644e-07,0.14460902682994287
310000,0.14633534278929466,-2.7954215171967162e-05,0.14460130702820329
320000,0.14625462596508756,-1.3751690318994704e-05,0.14451582955470738
330000,0.146247181508723,-1.822051168004201e-05,0.14450640483425947
340000,0.14631318535913976,9.540464266240322e-05,0.14455176021308197
350000,0.14634279747785173,0.00010643062317595734,0.14457715153366482
360000,0.12329348847314703,-0.058195003785487635,0.12929345412634385
370000,0.12330459704515526,-0.058128620536228,0.1292812538838895
380000,0.12328680365156064,-0.058144598721369053,0.1292580024044534
390000,0.12328014368422249,-0.05814235858834284,0.12923910159872087
400000,0.1462145945535474,0.0032039998927605793,0.14579677822171233
410000,0.1218978885895646,-0.058244801388925266,0.12923886595015682
420000,0.12189030613881646,-0.05825311569944713,0.12922244919193715
430000,0.14613295554576033,0.0030339821485683115,0.14573439162453938
440000,0.14463935801202726,0.00018033691482272968,0.14465464970722297
450000,0.14467806865441496,0.00015983233798720203,0.14469419277245904
460000,0.144702369827956,0.00017080815690481384,0.14471629963739324
470000,0.12191325909315191,-0.05825549924156408,0.12924100979916087
480000,0.12197571002629565,-0.058247419714101946,0.12929645887029684
490000,0.14464706661526472,8.531024112692104e-05,0.14467095362246446
500000,0.12198680954105862,-0.05827267939108926,0.12930526035655246
510000,0.12198209183412984,-0.05828212552110103,0.12929651388828967
520000,0.14470608716327243,8.131821802585165e-05,0.14472705371752848
530000,0.12203140202472536,-0.05831705070317079,0.12933755171537126
540000,0.12198718444047114,-0.058304381971340705,0.12928464236241094
550000,0.122021640340408,-0.05831562940004201,0.12931643814971994
560000,0.12202067915312995,-0.05832428565006138,0.12931151603699817
570000,0.1220320309681677,-0.05833064625078532,0.12931781299653586
580000,0.12203382458792782,-0.05832999586010358,0.12931429559715046
590000,0.14468087758361936,7.483690844735532e-05,0.1446951331302438
600000,0.14469866244093568,0.00018876886204352878,0.14469598622740965
610000,0.14464692050882808,6.579908045801209e-05,0.14466074702019904
620000,0.12201111049728666,-0.05834411692322741,0.12927927743260853
630000,0.1446765757613931,-5.002054196141842e-07,0.14469942040989991
630123,0.14467587738084836,-6.859330899355352e-07,0.14469882991713687
