station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster
1,48.383,-4.495,399,0.019138731131666056,0.3966651615159926,0.1542686507825995,0.024894946226483694,0.960456263596996,0.049499047752108505,0.9988396642369066,1
10,45.56848,-1.061555,237,0.008840243039338287,0.3969501133732396,0.21306667358307635,0.039537069971764184,0.8380714566215636,0.07620968522363547,0.9961651926391597,1
102,50.102,-5.542,377,0.09152104103958991,0.38241036838597886,0.13394522804669057,0.028701589209794154,0.9063368344280491,0.05323246758494338,0.9987359144374472,1
103,50.103,-5.54275,448,0.18267679432087996,0.4166295566368921,0.33817702551298656,0.19855570481360685,5.918320227695999e-16,0.348877105748519,0.833575475098546,0
104,50.099998,-5.53333,208,0.20724561106211753,0.35575761049462484,0.39780194709090777,0.2274284908238169,6.154688484409248e-10,0.426213703383733,0.7795863244190123,0
108,50.6085,-2.447944,205,-0.2992132270655197,0.42640089977893325,0.23621639587167892,0.11102422305824033,0.011756502792895569,0.19984465402885598,0.971445148066011,1
109,50.714333,-1.874861,171,0.2092101503898463,0.45301150553187847,0.434739452037893,0.06153874990791863,0.5165466021103656,0.10199899968862361,0.9954370378199854,0
11,46.497358,-1.793528,217,-0.03552796365586822,0.36915971694677224,0.1654000016533195,0.05253182059111994,0.568968598415428,0.09225734795847418,0.9941441834645994,1
111,50.7403,-1.50714,105,-0.6074484158535808,0.442938696299378,0.22248753713355085,0.08617062802039821,0.3943100468759647,0.14948483012770097,0.9882486027264638,1
114,50.70888,-2.76411,71,-0.001577477028365544,0.6765229089409628,0.4491831148461395,0.12966237712921916,0.16814060122411445,0.23157481081131762,0.9482284389049666,0
115,50.59419,-4.83437,79,0.1664219612598128,1.1442517895505402,0.28271685023948195,0.04576895918341406,0.9938844226254673,0.08433373020062265,0.9960018430255513,0
12,47.277217,-1.8898,213,-0.04910816601830264,0.680563474684712,0.27670691564837824,0.05332694906187596,0.5614835518654787,0.10467239123022576,0.9890950134214297,0
120,50.9693985,1.86772001,308,0.14221226176909335,0.7273703043870317,0.2644151788613452,0.04548278393318761,0.5319587834733129,0.08561115755374626,0.9964330429830112,0
121,50.72738,1.57766,238,0.10177866130075802,0.7357598093796285,0.281860297860926,0.04264915352982107,0.7630079340520377,0.0808686839325225,0.9962402333692509,0
122,50.969501,1.8677,308,0.14193465389022664,0.7276073881525211,0.2644286866217742,0.047896169586056025,0.4654672338460043,0.08772674682362647,0.9963261085006884,0
123,50.727501,1.5774,238,0.09876555958514766,0.7342401963854642,0.2812374465338945,0.04091253383730009,0.8049410349969757,0.08017224264785205,0.9963789374740993,0
124,50.783298,0.06667,205,-0.00018538901954225144,0.4318313932562454,0.15301796385783245,0.05953970622209981,0.44447950718468654,0.1151887292121353,0.9898379497793416,1
125,50.368401,-4.1852002,203,0.03354660945548958,0.3910772608713001,0.13753645775802614,0.0470109654410108,0.7424665080835433,0.0800029065020683,0.9965733428837721,1
126,50.8004,-1.1102,203,-0.05975029518524988,0.4399456114824629,0.16411059033187664,0.041927676904755795,0.8527347752207683,0.07318896518011014,0.9969050794447251,1
127,50.607899,-2.4465001,204,0.03988698337678985,0.39781795545542425,0.1515332190126778,0.04050926098934626,0.8775777852096367,0.0743906743206797,0.997938516506494,1
128,50.7136,-1.8747,165,-0.11870363569729227,0.410711731380785,0.16430045788897374,0.04976970814741902,0.7893500148252657,0.08906961292461316,0.9963295411368347,1
129,50.651108,-1.1531577,112,-0.2728440056163357,0.40513787542618773,0.14414058945645203,0.0910881926455393,0.2925859249958298,0.14427303028484523,0.9878600521567467,1
13,47.205383,-1.765133,213,-0.08236613389983902,0.7390220317589024,0.35090594645471723,0.06440555955390048,0.3259516338620859,0.11688721807583269,0.9890893346063129,0
