station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster,LD1,LD2
1,48.383,-4.495,399,0.019240621044500868,0.39667365024788215,0.1542821778416368,0.02486623352047279,0.960844211931903,0.04947829382467228,0.9988404982170831,1,2.022488369543321,-0.6906570053172801
10,45.56848,-1.061555,237,0.008877826293530868,0.39698127061141064,0.21311207976094948,0.03954844700774065,0.837822009083803,0.07624254359458887,0.9961538872962868,1,1.4185701264162922,-0.023920431822087907
102,50.102,-5.542,377,0.09147074819442422,0.3824423705098201,0.13396064314709416,0.028605887808992647,0.9083926260236177,0.05321231161049683,0.9987358006552743,1,2.1897212945190048,-1.2709210951514012
103,50.103,-5.54275,448,0.18267679432087996,0.4166295566368921,0.33817702551298656,0.1985557023293032,5.918325561280255e-16,0.3488770993472217,0.8335754787068778,0,0.13914474116868342,0.17703931533041334
104,50.099998,-5.53333,208,0.20722423425897712,0.3557246364509208,0.39780469974459665,0.22740503216395314,6.182796000093566e-10,0.42621606572918425,0.7796091759882743,0,-0.06960997163952141,0.33614348176782866
108,50.6085,-2.447944,205,-0.29919410089062515,0.4263918007223583,0.2361928472389137,0.11099436553473419,0.01178887805220123,0.1998258497754244,0.9714611330297108,1,1.7476798771462656,1.4576581486230742
109,50.714333,-1.874861,171,0.20919152673832458,0.4530849036309236,0.4347385426061614,0.061573453849105175,0.5158222204965666,0.10199004652484908,0.9954403413849979,0,-0.4885925038867317,0.5868924157038306
11,46.497358,-1.793528,217,-0.03558435265964244,0.3691947549997586,0.16542093085846726,0.052439252436061956,0.5712227876679248,0.0922383402491842,0.9941486592970197,1,2.0637706571367764,-0.3569590430526775
111,50.7403,-1.50714,105,-0.6075712212350992,0.4428894434816706,0.22245302234240805,0.0861718463436687,0.3942927312739153,0.14948807883145376,0.9882528743498761,1,2.423811345646681,2.6144098627775105
114,50.70888,-2.76411,71,-0.0015916372656461764,0.6764939362960088,0.4491753468766529,0.12964354689832872,0.16825967887061366,0.2315735981689571,0.9482298063264908,0,-0.6997679219494264,1.7098757414230417
115,50.59419,-4.83437,79,0.1666023245306987,1.1442777049313766,0.2827630824126496,0.04576511311862308,0.9938907416007687,0.08430207668954987,0.996001550032402,0,-1.3063574274248069,0.5486489390928276
12,47.277217,-1.8898,213,-0.04915425706369958,0.6805387222152965,0.27673800542589705,0.053283839041114,0.5625192346403777,0.10460313210948735,0.9891098785762911,0,0.31757049409170734,0.9716082266814495
120,50.9693985,1.86772001,308,0.14212896541776016,0.7273384286287202,0.26439802626396264,0.04553129709405701,0.5305847711269083,0.08562818484672868,0.9964328979336708,0,-0.08488745462030739,0.14520271078397937
121,50.72738,1.57766,238,0.10172010166809073,0.735742689302981,0.28187437758985445,0.042667951679990546,0.7625423098737214,0.08087884862273714,0.9962419604503608,0,-0.15059087317134917,0.441224613083724
122,50.969501,1.8677,308,0.1419396347846442,0.7276494033863857,0.264416920889336,0.04785350640204422,0.46660638881211824,0.08774157038389696,0.9963227524681313,0,-0.0854346386625154,0.1463915958844316
123,50.727501,1.5774,238,0.0986951135284228,0.7343081439571194,0.28125446344426963,0.04081894407067754,0.8071315183587883,0.08017588916051688,0.9963773144882602,0,-0.136846554374171,0.44802328103706385
124,50.783298,0.06667,205,-0.00018792697762538878,0.43183475785582015,0.15302876451711211,0.059515535003273445,0.4449934587098092,0.11516640958368779,0.9898439158761054,1,1.9880919121657328,-0.5956776435309837
125,50.368401,-4.1852002,203,0.0334330188628673,0.3910876017883575,0.1375209791120469,0.04700581052942532,0.7425865813078877,0.08004559696585134,0.9965700114777133,1,2.2307132252011277,-0.9757731015010921
126,50.8004,-1.1102,203,-0.05961326779690326,0.43997057512487026,0.1641270308372304,0.04197807052798619,0.8517485450560376,0.07320830114600863,0.9969059453310841,1,1.9485753812743896,-0.21072265560862719
127,50.607899,-2.4465001,204,0.03987441276266954,0.39778314329769293,0.15150324500571344,0.040403556890795445,0.8794833063094978,0.07439749871687773,0.9979441279352483,1,2.0145186742237455,-0.808943775839476
128,50.7136,-1.8747,165,-0.11863001670612491,0.41069559294548874,0.16432743745260664,0.04970953098259806,0.7905521790174116,0.08903318208392114,0.9963338087989809,1,2.1347025423297294,0.0061218812409494505
129,50.651108,-1.1531577,112,-0.272751174949764,0.4051227064743821,0.14413568023812723,0.09112723760275543,0.29211594631881754,0.14427774161598184,0.9878575391752948,1,2.702422037450196,0.3764108842679896
13,47.205383,-1.765133,213,-0.08234257698034698,0.7390076146349648,0.35091134092347925,0.06441111790757237,0.3258522510756887,0.11687850904138919,0.9890919797383122,0,-0.22232269400698593,1.618195623237526
130,50.740292,-1.5071276,105,-0.5383090956506165,0.4989575850326324,0.22220263767861664,0.08335266519029927,0.43556977181211187,0.13963539286532411,0.9892467993806543,1,2.1504120505054347,2.3799613596010287
131,50.609333,-1.949177,95,0.13133273452000574,0.3926827477964157,0.1669008121470283,0.07147131591867334,0.6897058634403916,0.12710486489516898,0.9911934244104749,1,1.6620284665203469,-0.9995138348812364
133,50.594177,-4.8344054,88,0.3206662604070879,0.8031285647321317,0.5614123081565747,0.14991751319151633,0.03428989374152125,0.249974010925844,0.9369945658834435,0,-2.0761847074883617,0.9399038189130633
14,47.19345,-1.633667,203,0.01343306348305216,0.8232882942879987,0.432511799331808,0.08190183465986589,0.12415054388483182,0.15030692686847963,0.9797964126425451,0,-1.0237477084153719,1.7070495300597672
140,50.8839,-1.3931,226,0.004279252627212512,0.6276230253439268,0.17983211268576463,0.030989287489477824,0.9770953946611451,0.05683061607143497,0.9986644817756699,1,1.1776162881151566,-0.12663945265072749
141,50.802194,-1.11125,177,0.032188806247662946,0.4611759286070112,0.1628453400971136,0.062298389508422036,0.4790150532928037,0.12330182506046572,0.991067054335292,1,1.7314505489275211,-0.5813085842776233
142,50.368389,-4.18525,172,0.21763334264265244,0.5645075854326811,0.4256514880536335,0.13694027874728232,0.0028277755478398952,0.27264657116459706,0.9056776935281504,0,-0.7433338538993112,0.6114590378730518
146,51.707389,-5.051778,357,1.0723473949203204,1.9887749501805185,0.012001417379002226,0.10095251091474583,0.0012772696220718887,0.13334596677758564,0.9729457515872552,2,0.9084121966219696,-8.494297894466227
147,51.6496,-9.9034,105,0.0588466442113375,0.38303526502008356,0.14251471393323484,0.05524823676521362,0.8879564998171277,0.09236337806203687,0.9946988480607399,1,2.132453004577945,-1.0177192310650935
148,51.8278,-8.0007,84,0.226027038122887,0.3835082443092429,0.20523772449229521,0.0699158540021328,0.77968803160798,0.13048516903962654,0.9875590727430203,1,1.1012006508618646,-0.994426581622648
15,48.640812,-2.028103,190,0.04524801059177108,0.5436971216073824,0.18618322297834827,0.051219492152148466,0.6816250151769158,0.08328098229386902,0.9959427545622148,1,1.2408621471387156,-0.3018574139694553
151,51.716702,-5.0500002,200,0.06947452000408864,0.4400004794577209,0.1830452654573161,0.06834775410439026,0.2940413478914973,0.10342406988089353,0.9935700994664058,1,1.4860685276087402,-0.5264090770511756
152,51.649601,-9.9034004,105,-0.1476613746605578,0.3519409308518334,0.14103093290270702,0.06673736592454893,0.712343894808253,0.12803484353114736,0.9867593061450519,1,2.633513983134555,-0.22351230553412424
153,51.827801,-8.0007,85,0.3100034519077288,0.412178102786775,0.22513862879006025,0.08375349298729862,0.5613323848688525,0.14424000197802045,0.988182225882649,1,0.6869341231063762,-1.1324308120092794
154,51.84,-8.3039999,79,-0.009838471190407788,0.40972647000223,0.17720487112686428,0.0993058876363801,0.39151135533149184,0.19171108708165369,0.967029453179242,1,1.7792353644740397,-0.292693029927172
156,51.114389,1.322528,396,-0.11537574490075564,0.6287207783814618,0.23647121456861903,0.05320224063069234,0.20488711550462313,0.10255266093395005,0.9924324308434092,1,0.8800058133320667,0.8914452181890823
157,51.445639,0.743361,337,0.4924956090589786,0.9505760220526787,0.5985442267399266,0.10943156401764195,0.000571270500460369,0.2062622203431365,0.953028550684356,0,-2.9043415157201666,0.4949027170923733
158,51.211139,-4.112389,280,0.5765099380443541,1.2095912430529765,0.3759525687769236,0.10227346620666894,0.005290880908467359,0.16859183239364633,0.9721108063232484,2,-2.819536580241971,-0.5143166258647018
16,45.56843333,-1.06148333,128,0.05634033705501899,0.37308022289529374,0.1951460079972892,0.035376110456539545,0.9955096163627105,0.06978069608404569,0.9980577190527865,1,1.5557540736843736,-0.4090935733371188
160,51.948,1.292056,222,-0.20979467409271335,0.571370014356722,0.3795268123760246,0.0811410635441161,0.10169777863603624,0.14168123681109923,0.9911929539539787,0,0.2949299357460359,2.1393353287731145
161,51.21525,-3.134472,185,0.006006227697175245,0.7476181512000325,0.3082360510033739,0.07100792153894359,0.29439718011393756,0.11871944743757684,0.988129393235089,0,-0.16607276835797208,1.0150060380241261
162,51.55,-2.987444,187,0.03921089031592105,0.9594604723982967,0.2716111129090164,0.038649303657271816,0.932435491491461,0.07241088000962215,0.9971977513729847,0,-0.517277545060409,0.8249253208987279
163,51.95769444,1.34655556,25,-0.5170851303935419,-2.4354355110100068,0.5338602370977457,0.11508895625476379,0.8578892452132466,0.22623674803582638,0.9702067547893872,1,7.765965893366778,1.3584124321538555
164,51.57,-3.975472,18,0.8891172719476106,0.1121603792905484,0.1258035555669,0.17349359176024726,0.5910013292057548,0.2598967763666853,0.9537004252731411,1,1.4312191564211376,-4.887806925060596
165,51.5,-2.72847222,93,0.8914064050246874,0.8995921507840083,0.750971170549415,0.26082060869375273,4.531517218419854e-06,0.5196755359591505,0.800983344029571,2,-3.99292343121682,-0.7394392678325394
166,51.38198,1.11553,173,0.16536112804139813,0.91607282361724,0.3656076986365733,0.04740567952392327,0.8138811215765983,0.09020525223156256,0.9956998392179319,0,-1.2282995270527113,0.8457814605999567
167,51.22378,1.40923,115,-0.11823285462505378,0.6438864810612708,0.2430752751325388,0.06800019087222564,0.6370667605374238,0.12067025959836036,0.99223293442152,1,0.7944487926731973,0.9699084489159518
168,51.57012,-2.70001,76,0.7330385768257192,1.5959067595408318,0.3010374820288384,0.07438649639300865,0.7661369849133244,0.12331090695085034,0.9884571377753095,2,-3.663590741402307,-1.2360857205370277
17,47.305667,-2.0883,165,0.09949810032804121,0.5606634055502338,0.27948977370753636,0.03233934365280544,0.9931478371666187,0.06332529726645719,0.9975924022742194,0,0.30858299822401936,0.27703026818845117
170,51.048091,2.366698,364,0.11383908075936702,0.7567614821260945,0.3045261672123013,0.0387016170900184,0.6323636938875219,0.0727292027693073,0.9974048998029834,0,-0.3760367948343324,0.5599807230384735
172,51.399148,4.209993,288,0.4111324001521646,1.1433167458546363,0.4501857019888886,0.07040968277247761,0.10964755119847991,0.136801369057178,0.9825822161386211,0,-2.678569528464049,0.4490305696054949
173,51.506519,4.249998,124,0.24467752942337145,1.3711305536699396,0.41647057571287815,0.08420124761451431,0.3245985843568234,0.15028154668109456,0.9801293679217117,0,-2.7740212203514325,1.1816158454781678
174,51.511332,4.165743,175,0.06986001557166169,0.8968330624854921,0.3484317819976728,0.0916207403111099,0.09946475659689291,0.1594250111741462,0.9804725017647795,0,-0.9008941089353611,1.1250885216878812
175,51.399115,3.564552,80,0.18067024937466197,0.9321341728683675,0.3954356261975275,0.09869321179821228,0.3915420458390536,0.16613722060199415,0.9832289393366588,0,-1.4497399220871328,0.9492714616466138
178,51.750754,3.811483,234,0.1837263846794612,0.9399774091376145,0.3821851171542862,0.057504965140925735,0.406166359651153,0.10696269946920067,0.9896626058876601,0,-1.4095744993972914,0.877974819212411
179,51.655118,4.102756,153,0.24754332605932616,1.0043586005991099,0.41476045877745377,0.07167796651366648,0.3929874896953486,0.14294779512509787,0.9837573142819753,0,-1.853183273127705,0.8334117387386546
18,47.542676,-2.895167,133,0.0954960094438953,0.37844120145171545,0.19153063948279792,0.06547987796819121,0.5951511825814557,0.1192785719867886,0.9856026621344202,1,1.5020037496661094,-0.6001296265486998
180,51.675798,3.756442,98,0.21075922581023598,0.8830279594012833,0.40064402542221833,0.07448416716824163,0.6213429092558069,0.13272435712253589,0.9890759004180426,0,-1.4107346334845634,0.8078411454375689
181,51.379296,3.376275,288,0.13801608404464383,0.8753542027207666,0.3602301955053111,0.07012095100502108,0.11226448507613829,0.11223228140641789,0.9901958854742335,0,-1.0443723731897179,0.8922051127720264
183,51.60088,3.85938,97,0.23464367236380568,0.9042868166704028,0.421825275917713,0.10853314006019754,0.1889749973768433,0.15639166057179565,0.9818568005437045,0,-1.6099978926097969,0.829014799373369
19,47.873549,-3.907207,154,0.09552191731701823,0.35290027022820847,0.1541275191474267,0.05540180079507806,0.7105473705046119,0.10120266293974281,0.9941879464133456,1,1.9851820316540383,-1.0429373340239758
194,51.445556,4.006959,347,0.16419443524359603,1.0227720467288128,0.3845748280108555,0.08180982458455871,0.018128443103628468,0.14579517980728968,0.9794259463459736,0,-1.5908257023609866,1.0438541263790535
