,station,station_am_mean,station_am_std,station_am_max,swh_am_mean,swh_am_std,swh_am_max,mwp_am_mean,mwp_am_std,mwp_am_max,wsk_am_mean,wsk_am_std,wsk_am_max,sst_am_mean,sst_am_std,sst_am_max,wave_lon_am_mean,wave_lon_am_std,wave_lon_am_max,wave_lat_am_mean,wave_lat_am_std,wave_lat_am_max,wave_distance_deg_am_mean,wave_distance_deg_am_std,wave_distance_deg_am_max,u10_am_mean,u10_am_std,u10_am_max,v10_am_mean,v10_am_std,v10_am_max,msl_am_mean,msl_am_std,msl_am_max,tp_am_mean,tp_am_std,tp_am_max,d2m_am_mean,d2m_am_std,d2m_am_max,sp_am_mean,sp_am_std,sp_am_max,t2m_am_mean,t2m_am_std,t2m_am_max,longitude_am_mean,longitude_am_std,longitude_am_max,latitude_am_mean,latitude_am_std,latitude_am_max,wind_magnitude_am_mean,wind_magnitude_am_std,wind_magnitude_am_max,u10_abs_am_mean,u10_abs_am_std,u10_abs_am_max,v10_abs_am_mean,v10_abs_am_std,v10_abs_am_max,wind_wave_diff_am_mean,wind_wave_diff_am_std,wind_wave_diff_am_max,wind_wave_alignment_am_mean,wind_wave_alignment_am_std,wind_wave_alignment_am_max,tau_u_am_mean,tau_u_am_std,tau_u_am_max,tau_u_abs_am_mean,tau_u_abs_am_std,tau_u_abs_am_max,tau_v_am_mean,tau_v_am_std,tau_v_am_max,tau_v_abs_am_mean,tau_v_abs_am_std,tau_v_abs_am_max,tau_mag_am_mean,tau_mag_am_std,tau_mag_am_max,wind_dir_am_mean,wind_dir_am_std,mwd_am_mean,mwd_am_std,mwd,wind_dir,coast_lat,coast_lon,lat,lon
84,151,151.0,0.0,151,2.7589584094722097,0.41614470974295964,4.017467021942139,8.490922555690858,0.45254698316783076,9.701130867004395,0.0184141441089351,0.002783068576532706,0.026924431324005127,289.4880490186738,0.5665254426737338,290.628173828125,-5.0,0.0,-5.0,51.75,0.0,51.75,0.06007309550905609,0.0,0.06007309550905609,4.8271036,1.0902257,7.3265724,3.621824,0.9602316,7.056939,102319.5,289.31506,103110.625,0.005613932,0.000966051,0.007587433,286.51447,0.72380996,288.21362,101746.98,285.03525,102527.56,289.2969,0.8787607,291.79126,-5.0,0.0,-5.0,51.75,0.0,51.75,13.055911,6.6475387,31.816113,4.8694897,1.0907786,7.3265724,3.6718478,0.92521405,7.056939,214.75368117704625,11.794413313996712,238.21909141540527,0.9231560132094399,0.12611204126393646,0.9999513137014842,0.09458036,0.06804254,0.31998098,0.09574767,0.067916445,0.31998098,0.07516354,0.06473241,0.30892867,0.0753101,0.06457734,0.30892867,0.3401083,0.35382032,1.612032,66.84766713584342,57.41564246151919,249.49280323699438,18.718200118038272,249.49280323699438,66.84766713584342,51.716702,-5.0500002,51.75,-5.0
85,152,152.0,0.0,152,3.7657945621304396,0.5448489740265032,5.179576396942139,10.181750599930925,0.4120193800371154,11.269246101379395,0.006552447633045476,0.0007957808067780116,0.00890505313873291,288.7168087842988,0.9573907604339956,291.014892578125,-10.0,0.0,-10.0,51.75,0.0,51.75,0.13932495082059235,0.0,0.13932495082059235,4.5848017,1.0157464,6.539463,3.1154904,0.84031147,5.513482,102307.05,303.69617,103163.125,0.008354838,0.0017296205,0.014289856,285.75162,0.7290346,287.646,101279.59,297.60217,102118.56,288.29138,0.957971,290.97095,-10.0,0.0,-10.0,51.75,0.0,51.75,9.740981,4.855826,23.225983,4.6044707,1.0205318,6.539463,3.149934,0.833065,5.513482,226.8330952830431,12.76651881544235,252.2792558670044,0.9532439799056122,0.08844844008472956,0.9999984218471781,0.06410143,0.050111778,0.22293778,0.06410143,0.050111778,0.22293778,0.048247747,0.03597672,0.14971203,0.0487385,0.035666216,0.14971203,0.18774088,0.19840893,0.8590682,66.22776138491747,50.08540723943305,257.40606103274024,14.471296208963697,257.40606103274024,66.22776138491747,51.649601,-9.9034004,51.75,-10.0
86,153,153.0,0.0,153,2.8469025332753253,0.4063837312236263,4.105235576629639,8.391519593029487,0.4154607862263301,9.291218757629395,0.019304195555245002,0.0024092149854120144,0.025390923023223877,289.4369938548018,0.807713962260189,291.35400390625,-8.0,0.0,-8.0,51.75,0.0,51.75,0.0778041489960538,0.0,0.0778041489960538,5.452761,1.0846918,7.622471,4.0166025,0.9432047,7.015435,102304.52,294.02383,103141.125,0.0056883185,0.0012646129,0.010623932,286.2406,0.8083203,287.94287,102055.39,292.76212,102888.56,289.13852,0.8310708,291.26978,-8.0,0.0,-8.0,51.75,0.0,51.75,17.127651,7.828993,40.152122,5.504514,1.1405289,7.7107105,4.0277042,0.9352068,7.015435,194.2912508336509,10.423902227145362,216.48662948608398,0.9429739170302246,0.06376615497261877,0.9999999999144391,0.14180489,0.096213736,0.46104744,0.14180489,0.096213736,0.46104744,0.11177021,0.07941479,0.35607278,0.11177021,0.07941479,0.35607278,0.5623988,0.5396302,2.5674174,62.04585121899116,51.15632292594305,229.5677267668492,22.823664238810306,229.5677267668492,62.04585121899116,51.827801,-8.0007,51.75,-8.0
87,154,154.0,0.0,154,2.8469025332753253,0.4063837312236263,4.105235576629639,8.391519593029487,0.4154607862263301,9.291218757629395,0.019304195555245002,0.0024092149854120144,0.025390923023223877,289.4369938548018,0.807713962260189,291.35400390625,-8.25,0.0,-8.25,51.75,0.0,51.75,0.10495708265767825,0.0,0.10495708265767827,4.726761,0.935372,6.510166,3.5541668,0.845861,6.211236,102304.13,295.197,103144.625,0.0048360126,0.0010673533,0.008705139,286.28226,0.7990615,288.0464,101930.195,293.37274,102764.56,289.15347,0.88665456,291.48853,-8.25,0.0,-8.25,51.75,0.0,51.75,12.99551,5.994056,30.491142,4.7690215,0.9755631,6.510166,3.5652685,0.8391526,6.211236,195.2015150640069,10.07991979496777,215.8972988128662,0.9175400901960773,0.11538591944087287,0.9999899666836515,0.09290487,0.06389584,0.30317017,0.09290487,0.06389584,0.30317017,0.07492792,0.053456448,0.23713382,0.07492792,0.053456448,0.23713382,0.3247676,0.3147302,1.4805628,62.38187822481481,51.16622463474115,229.5588385445324,22.823886859625325,229.5588385445324,62.38187822481481,51.84,-8.3039999,51.75,-8.25
88,156,156.0,0.0,156,1.1523504882324032,0.14789853431895594,1.4637880325317383,4.86141697953387,0.13724259719531906,5.147713661193848,0.016751726952994744,0.001129248422355711,0.018592894077301025,290.6876429115854,0.7497906789653295,292.0087890625,1.25,0.0,1.25,51.0,0.0,51.0,0.13544428413558326,0.0,0.13544428413558326,5.1895013,1.1364903,7.312416,4.1529584,1.1762698,7.4846735,102320.22,302.5312,103014.19,0.005363441,0.0010758238,0.00868988,287.35632,0.808132,289.26245,102221.99,301.62955,102914.0,290.46783,0.78487444,291.88574,1.25,0.0,1.25,51.0,0.0,51.0,18.231104,8.8759575,40.006405,5.211528,1.1611533,7.312416,4.1872973,1.1398946,7.4846735,220.53353356152047,17.8154856844028,288.3465347290039,0.9640352234879834,0.05954106432636867,0.9999941136260437,0.14840823,0.09670443,0.42350614,0.15044637,0.097215444,0.42350614,0.12907565,0.10401574,0.44434857,0.12929247,0.10380034,0.44434857,0.6517055,0.61522853,2.5488162,69.35170308555045,63.39697348938135,274.0430884768788,72.97204618097152,274.0430884768788,69.35170308555045,51.114389,1.322528,51.0,1.25
89,157,157.0,0.0,157,0.9058279511405201,0.11698539147904348,1.2395172119140625,4.187284911551127,0.20191445167676036,4.918377876281738,0.023749652432232368,0.0022449698358746723,0.027956843376159668,290.703857421875,1.3388638574960767,294.07861328125,0.75,0.0,0.75,51.5,0.0,51.5,0.0547649033779848,0.0,0.0547649033779848,4.078759,0.9337758,5.854253,3.14468,0.9178069,5.7263727,102300.43,295.076,103011.44,0.0039174384,0.0005486255,0.0050201416,286.81647,0.82878965,288.87378,101997.63,291.63388,102702.0,290.89883,0.9715537,293.14233,0.75,0.0,0.75,51.5,0.0,51.5,10.684366,5.2932096,26.449936,4.091354,0.9478962,5.854253,3.1761284,0.88798785,5.7263727,216.5013378422435,25.40735201016668,279.36932373046875,0.964581861701244,0.06665269328032673,0.9999900767430884,0.069356225,0.048088066,0.22927932,0.07036229,0.048294377,0.22927932,0.0567694,0.046499167,0.20467643,0.056850597,0.04640683,0.20467643,0.22532344,0.22733206,1.1141117,67.18936278180378,62.77347612627349,178.15496765335226,97.71189898500981,178.15496765335226,67.18936278180378,51.445639,0.743361,51.5,0.75
90,158,158.0,0.0,158,1.8800666361320308,0.31230452927286567,2.7835803031921387,8.418964502288073,0.5000355366095304,9.825154304504395,0.014156776230509689,0.003664039827395498,0.025750160217285156,290.3561356707317,0.7364359182779223,291.800048828125,-4.0,0.0,-4.0,51.25,0.0,51.25,0.11891789033614683,0.0,0.11891789033614683,5.6243753,1.1870413,8.426182,3.4250674,1.0167936,7.0891657,102344.875,295.3582,103106.25,0.0064107617,0.0012436332,0.010009766,286.60834,0.8208796,288.63354,101685.234,290.09985,102434.56,289.5767,0.8518568,291.86548,-4.0,0.0,-4.0,51.25,0.0,51.25,14.39167,7.537162,33.86185,5.753215,1.2433561,8.718523,3.4592464,0.9890299,7.0891657,221.07157639086972,13.960611789038467,248.8721628189087,0.9207726008028446,0.15351616376685748,0.9999999067573411,0.11935047,0.08592422,0.37544337,0.12353962,0.08638243,0.37544337,0.080785565,0.074138895,0.3547041,0.08098263,0.073942214,0.3547041,0.4181003,0.44121236,1.8260001,71.50533150463569,59.15758300580095,254.51016111811117,15.182647511457143,254.51016111811117,71.50533150463569,51.211139,-4.112389,51.25,-4.0
91,160,160.0,0.0,160,1.5040734104993867,0.16419767133949636,1.8667101860046387,4.992282402224657,0.1693440543861918,5.394004821777344,0.029308384511528944,0.001910186058598945,0.03298461437225342,291.5118854801829,0.8362605948964256,293.239990234375,1.25,0.0,1.25,52.0,0.0,52.0,0.06687830093535546,0.0,0.06687830093535546,4.301085,0.9595008,6.222905,3.3999732,0.9429875,6.210228,102269.555,288.42633,102993.19,0.003613286,0.00049725664,0.004634857,286.77063,0.8459107,288.948,102021.34,285.84546,102739.0,290.83975,0.90669364,292.82886,1.25,0.0,1.25,52.0,0.0,52.0,11.811671,5.659802,28.870014,4.305531,0.9622244,6.222905,3.4169579,0.92635524,6.210228,255.07851172656547,32.6015157184353,325.9965705871582,0.9439067732110618,0.09200388393963273,0.9999978876849602,0.07991863,0.053417373,0.26204333,0.08067708,0.05322403,0.26204333,0.06706147,0.053280234,0.2328771,0.06709719,0.053237855,0.2328771,0.27194744,0.26594594,1.3273133,62.71763108416302,60.67489133790039,219.22267717205503,91.26343820528258,219.22267717205503,62.71763108416302,51.948,1.292056,52.0,1.25
92,161,161.0,0.0,161,0.3650606928802118,0.07076888374195045,0.5742297768592834,2.711794225181021,0.16149267856351804,3.1733484268188477,0.020048400250876824,0.002564977247559815,0.026516616344451904,290.9353980087652,0.7162906613343087,292.45361328125,-3.25,0.0,-3.25,51.25,0.0,51.25,0.12064112600601892,0.0,0.12064112600601894,5.0541544,1.0160851,7.315342,2.7340333,0.898481,5.7898493,102341.586,298.8203,103097.0,0.005515587,0.00097030913,0.008008957,286.6839,0.8259555,288.8308,101855.68,294.73773,102601.56,290.10654,0.9563243,292.47876,-3.25,0.0,-3.25,51.25,0.0,51.25,10.401108,5.577524,25.08034,5.1233783,1.009309,7.315342,2.7891977,0.8608039,5.7898493,207.69987920435463,21.02787697185397,257.8294868469238,0.941620755172714,0.10746169271382827,0.9999892861609332,0.075875245,0.05539598,0.23897648,0.0791076,0.058191106,0.23897648,0.047092002,0.044478312,0.19298828,0.047985803,0.044416644,0.19298828,0.22061394,0.2368601,1.0017198,80.35634985202697,56.29964254629652,258.4728569828421,63.6159687981033,258.4728569828421,80.35634985202697,51.21525,-3.134472,51.25,-3.25
93,162,162.0,0.0,162,0.3650606928802118,0.07076888374195045,0.5742297768592834,2.711794225181021,0.16149267856351804,3.1733484268188477,0.020048400250876824,0.002564977247559815,0.026516616344451904,290.9353980087652,0.7162906613343087,292.45361328125,-3.0,0.0,-3.0,51.5,0.0,51.5,0.051552430941709394,0.0,0.051552430941709394,3.7520638,0.7896714,5.351967,2.5387769,0.77772725,5.0593805,102328.41,299.10138,103090.625,0.0046804007,0.0008734215,0.0069293976,286.2147,0.7805784,288.5769,101590.875,291.8886,102338.56,290.4373,1.2546409,293.29517,-3.0,0.0,-3.0,51.5,0.0,51.5,8.072324,4.080137,19.105536,3.7864056,0.77724224,5.351967,2.5654132,0.75465244,5.0593805,205.6751800630151,17.09861367347871,248.78662872314453,0.949164236910152,0.09355883057665924,0.9999776015505727,0.046628684,0.03362253,0.14371684,0.04776991,0.03451634,0.14371684,0.034725804,0.029353363,0.12306338,0.035390317,0.029595643,0.12306338,0.12963569,0.13240908,0.58129674,75.58883387867998,57.69663500176615,258.4728569828421,63.6159687981033,258.4728569828421,75.58883387867998,51.55,-2.987444,51.5,-3.0
