,Unnamed: 0,station,station_am_mean,station_am_std,station_am_max,swh_am_mean,swh_am_std,swh_am_max,mwp_am_mean,mwp_am_std,mwp_am_max,wsk_am_mean,wsk_am_std,wsk_am_max,sst_am_mean,sst_am_std,sst_am_max,wave_lon_am_mean,wave_lon_am_std,wave_lon_am_max,wave_lat_am_mean,wave_lat_am_std,wave_lat_am_max,wave_distance_deg_am_mean,wave_distance_deg_am_std,wave_distance_deg_am_max,u10_am_mean,u10_am_std,u10_am_max,v10_am_mean,v10_am_std,v10_am_max,msl_am_mean,msl_am_std,msl_am_max,tp_am_mean,tp_am_std,tp_am_max,d2m_am_mean,d2m_am_std,d2m_am_max,sp_am_mean,sp_am_std,sp_am_max,t2m_am_mean,t2m_am_std,t2m_am_max,longitude_am_mean,longitude_am_std,longitude_am_max,latitude_am_mean,latitude_am_std,latitude_am_max,wind_magnitude_am_mean,wind_magnitude_am_std,wind_magnitude_am_max,u10_abs_am_mean,u10_abs_am_std,u10_abs_am_max,v10_abs_am_mean,v10_abs_am_std,v10_abs_am_max,wind_wave_diff_am_mean,wind_wave_diff_am_std,wind_wave_diff_am_max,wind_wave_alignment_am_mean,wind_wave_alignment_am_std,wind_wave_alignment_am_max,tau_u_am_mean,tau_u_am_std,tau_u_am_max,tau_u_abs_am_mean,tau_u_abs_am_std,tau_u_abs_am_max,tau_v_am_mean,tau_v_am_std,tau_v_am_max,tau_v_abs_am_mean,tau_v_abs_am_std,tau_v_abs_am_max,tau_mag_am_mean,tau_mag_am_std,tau_mag_am_max,wind_dir_am_mean,wind_dir_am_std,mwd_am_mean,mwd_am_std,mwd,wind_dir,lat,lon,wind_to_mean_deg,coastal_bearing_deg,coastal_radius_used_deg,bay_bearing_deg,bay_radius_used_deg,coastal_vs_bay_diff_deg,coastal_normal1_deg,coastal_normal2_deg,wind_vs_coastal_normal_diff_deg,wind_more_coastalshore_deg,bay_normal1_deg,bay_normal2_deg,wind_vs_bay_normal_diff_deg,wind_more_bayshore_deg
851,851,852,852.0,0.0,852,2.9692730263965887,0.4289588160062553,4.183238506317139,9.716840441634016,0.3878645978675971,10.672078132629396,0.0046349153286073,0.0005886961573084,0.0059017539024353,289.346649914253,1.046327090566728,291.783447265625,-9.5,0.0,-9.5,51.5,0.0,51.5,0.0886954229315136,0.0,0.0886954229315136,4.879059,1.0053853,6.8392715,2.8883057,0.78657347,5.3958063,102318.195,300.49844,103159.0,0.0061441516,0.0012684098,0.011386871,285.87375,0.67213964,287.38818,101772.05,297.37927,102603.56,288.94318,1.0463048,291.64087,-9.5,0.0,-9.5,51.5,0.0,51.5,9.943858,4.895328,23.466879,4.9040513,1.0134566,6.8392715,2.9161518,0.7793749,5.3958063,206.82358006878596,13.681080013710696,237.14216995239255,0.962311116139015,0.0655817403871415,0.9999997622354904,0.07059005,0.05262749,0.23904017,0.07059005,0.05262749,0.23904017,0.046790384,0.03534252,0.167523,0.047113743,0.03511665,0.167523,0.19469914,0.2027977,0.87698084,69.05467279945931,50.33615711487492,242.8363262686271,15.483683600775892,242.8363262686271,69.05467279945931,51.5,-9.5,249.0546727994593,257.52279084640014,0.1,257.5353445189972,0.3,0.012553672597050536,347.52279084640014,167.52279084640014,81.53188195305916,-8.468118046940845,347.5353445189972,167.5353445189972,81.5193282804621,-8.480671719537895
852,852,853,853.0,0.0,853,2.9692730263965887,0.4289588160062553,4.183238506317139,9.716840441634016,0.3878645978675971,10.672078132629396,0.0046349153286073,0.0005886961573084,0.0059017539024353,288.7168087842988,0.9573907604339956,291.014892578125,-9.75,0.0,-9.75,51.5,0.0,51.5,0.0459955123463171,0.0,0.0459955123463171,5.335187,1.1263682,7.4691505,3.164548,0.89287853,5.883111,102317.234,301.64413,103160.375,0.006505873,0.0013320924,0.011528015,285.90903,0.68968517,287.55225,101839.65,298.85294,102674.56,288.79868,0.98176044,291.45142,-9.75,0.0,-9.75,51.5,0.0,51.5,11.652701,5.7727494,27.459093,5.3616304,1.1361694,7.4691505,3.2111983,0.8856541,5.883111,207.55426951952097,13.864984947753014,236.22074699401855,0.9489589746457172,0.0951594666524219,0.9999802850998104,0.08830688,0.06764461,0.30432466,0.08830688,0.06764461,0.30432466,0.059647396,0.045318782,0.21319658,0.06035131,0.04491768,0.21319658,0.26801345,0.27925256,1.2007478,71.05656884356243,50.90318211025262,242.8363262686271,15.483683600775892,242.8363262686271,71.05656884356243,51.5,-9.75,251.05656884356245,47.266924370840684,0.1,50.62980443297789,0.3,3.362880062137208,137.26692437084068,317.2669243708407,-66.21035552727824,-156.21035552727824,140.6298044329779,320.6298044329779,-69.57323558941545,-159.57323558941545
853,853,854,854.0,0.0,854,2.9692730263965887,0.4289588160062553,4.183238506317139,9.716840441634016,0.3878645978675971,10.672078132629396,0.0046349153286073,0.0005886961573084,0.0059017539024353,288.7168087842988,0.9573907604339956,291.014892578125,-9.75,0.0,-9.75,51.5,0.0,51.5,0.0462375179697165,0.0,0.0462375179697165,5.335187,1.1263682,7.4691505,3.164548,0.89287853,5.883111,102317.234,301.64413,103160.375,0.006505873,0.0013320924,0.011528015,285.90903,0.68968517,287.55225,101839.65,298.85294,102674.56,288.79868,0.98176044,291.45142,-9.75,0.0,-9.75,51.5,0.0,51.5,11.652701,5.7727494,27.459093,5.3616304,1.1361694,7.4691505,3.2111983,0.8856541,5.883111,207.55426951952097,13.864984947753014,236.22074699401855,0.9489589746457172,0.0951594666524219,0.9999802850998104,0.08830688,0.06764461,0.30432466,0.08830688,0.06764461,0.30432466,0.059647396,0.045318782,0.21319658,0.06035131,0.04491768,0.21319658,0.26801345,0.27925256,1.2007478,71.05656884356243,50.90318211025262,242.8363262686271,15.483683600775892,242.8363262686271,71.05656884356243,51.5,-9.75,251.05656884356245,47.266924370840684,0.1,50.62980443297789,0.3,3.362880062137208,137.26692437084068,317.2669243708407,-66.21035552727824,-156.21035552727824,140.6298044329779,320.6298044329779,-69.57323558941545,-159.57323558941545
854,854,855,855.0,0.0,855,2.9692730263965887,0.4289588160062553,4.183238506317139,9.716840441634016,0.3878645978675971,10.672078132629396,0.0046349153286073,0.0005886961573084,0.0059017539024353,289.346649914253,1.046327090566728,291.783447265625,-9.5,0.0,-9.5,51.5,0.0,51.5,0.1514715580727933,0.0,0.1514715580727933,4.879059,1.0053853,6.8392715,2.8883057,0.78657347,5.3958063,102318.195,300.49844,103159.0,0.0061441516,0.0012684098,0.011386871,285.87375,0.67213964,287.38818,101772.05,297.37927,102603.56,288.94318,1.0463048,291.64087,-9.5,0.0,-9.5,51.5,0.0,51.5,9.943858,4.895328,23.466879,4.9040513,1.0134566,6.8392715,2.9161518,0.7793749,5.3958063,206.82358006878596,13.681080013710696,237.14216995239255,0.962311116139015,0.0655817403871415,0.9999997622354904,0.07059005,0.05262749,0.23904017,0.07059005,0.05262749,0.23904017,0.046790384,0.03534252,0.167523,0.047113743,0.03511665,0.167523,0.19469914,0.2027977,0.87698084,69.05467279945931,50.33615711487492,242.8363262686271,15.483683600775892,242.8363262686271,69.05467279945931,51.5,-9.5,249.0546727994593,257.52279084640014,0.1,257.5353445189972,0.3,0.012553672597050536,347.52279084640014,167.52279084640014,81.53188195305916,-8.468118046940845,347.5353445189972,167.5353445189972,81.5193282804621,-8.480671719537895
855,855,856,856.0,0.0,856,2.9692730263965887,0.4289588160062553,4.183238506317139,9.716840441634016,0.3878645978675971,10.672078132629396,0.0046349153286073,0.0005886961573084,0.0059017539024353,288.7168087842988,0.9573907604339956,291.014892578125,-9.75,0.0,-9.75,51.5,0.0,51.5,0.1074542402188008,0.0,0.1074542402188008,5.335187,1.1263682,7.4691505,3.164548,0.89287853,5.883111,102317.234,301.64413,103160.375,0.006505873,0.0013320924,0.011528015,285.90903,0.68968517,287.55225,101839.65,298.85294,102674.56,288.79868,0.98176044,291.45142,-9.75,0.0,-9.75,51.5,0.0,51.5,11.652701,5.7727494,27.459093,5.3616304,1.1361694,7.4691505,3.2111983,0.8856541,5.883111,207.55426951952097,13.864984947753014,236.22074699401855,0.9489589746457172,0.0951594666524219,0.9999802850998104,0.08830688,0.06764461,0.30432466,0.08830688,0.06764461,0.30432466,0.059647396,0.045318782,0.21319658,0.06035131,0.04491768,0.21319658,0.26801345,0.27925256,1.2007478,71.05656884356243,50.90318211025262,242.8363262686271,15.483683600775892,242.8363262686271,71.05656884356243,51.5,-9.75,251.05656884356245,47.266924370840684,0.1,50.62980443297789,0.3,3.362880062137208,137.26692437084068,317.2669243708407,-66.21035552727824,-156.21035552727824,140.6298044329779,320.6298044329779,-69.57323558941545,-159.57323558941545
856,856,857,857.0,0.0,857,2.9692730263965887,0.4289588160062553,4.183238506317139,9.716840441634016,0.3878645978675971,10.672078132629396,0.0046349153286073,0.0005886961573084,0.0059017539024353,289.346649914253,1.046327090566728,291.783447265625,-9.5,0.0,-9.5,51.75,0.0,51.75,0.1639804409464756,0.0,0.1639804409464756,3.3553352,0.6895376,4.7259903,2.4178114,0.62245935,4.2419977,102307.586,300.93552,103161.125,0.0067595504,0.0014415362,0.012643814,285.42313,0.67907625,287.05615,100542.53,290.71573,101366.56,288.31815,1.0766444,290.9807,-9.5,0.0,-9.5,51.75,0.0,51.75,5.820281,2.7896624,13.83325,3.3716557,0.69285697,4.7259903,2.433637,0.6185796,4.2419977,213.05905409557064,12.311099224240444,237.41761112213135,0.9656427785740896,0.0402279459085118,0.9999999629031056,0.029060198,0.021275762,0.0962968,0.029060198,0.021275762,0.0962968,0.022464639,0.016324477,0.06971394,0.022591986,0.01623102,0.06971394,0.06603792,0.06767221,0.3047389,63.84366844921577,51.11890676422264,242.8363262686271,15.483683600775892,242.8363262686271,63.84366844921577,51.75,-9.5,243.84366844921578,350.80885782492356,0.1,345.75514842534113,0.3,5.053709399582431,80.80885782492356,260.80885782492356,-16.96518937570778,-106.96518937570778,75.75514842534113,255.75514842534113,-11.91147997612535,-101.91147997612535
857,857,858,858.0,0.0,858,2.9692730263965887,0.4289588160062553,4.183238506317139,9.716840441634016,0.3878645978675971,10.672078132629396,0.0046349153286073,0.0005886961573084,0.0059017539024353,289.346649914253,1.046327090566728,291.783447265625,-9.5,0.0,-9.5,51.75,0.0,51.75,0.039238084675479,0.0,0.039238084675479,3.3553352,0.6895376,4.7259903,2.4178114,0.62245935,4.2419977,102307.586,300.93552,103161.125,0.0067595504,0.0014415362,0.012643814,285.42313,0.67907625,287.05615,100542.53,290.71573,101366.56,288.31815,1.0766444,290.9807,-9.5,0.0,-9.5,51.75,0.0,51.75,5.820281,2.7896624,13.83325,3.3716557,0.69285697,4.7259903,2.433637,0.6185796,4.2419977,213.05905409557064,12.311099224240444,237.41761112213135,0.9656427785740896,0.0402279459085118,0.9999999629031056,0.029060198,0.021275762,0.0962968,0.029060198,0.021275762,0.0962968,0.022464639,0.016324477,0.06971394,0.022591986,0.01623102,0.06971394,0.06603792,0.06767221,0.3047389,63.84366844921577,51.11890676422264,242.8363262686271,15.483683600775892,242.8363262686271,63.84366844921577,51.75,-9.5,243.84366844921578,350.80885782492356,0.1,345.75514842534113,0.3,5.053709399582431,80.80885782492356,260.80885782492356,-16.96518937570778,-106.96518937570778,75.75514842534113,255.75514842534113,-11.91147997612535,-101.91147997612535
858,858,859,859.0,0.0,859,2.9692730263965887,0.4289588160062553,4.183238506317139,9.716840441634016,0.3878645978675971,10.672078132629396,0.0046349153286073,0.0005886961573084,0.0059017539024353,288.7168087842988,0.9573907604339956,291.014892578125,-9.75,0.0,-9.75,51.75,0.0,51.75,0.1358314119819113,0.0,0.1358314119819113,3.6709588,0.78204376,5.2225723,2.5740013,0.6722336,4.541314,102307.516,302.343,103162.25,0.007180819,0.0014980815,0.013080597,285.55878,0.6760897,287.2378,100904.14,294.26794,101735.56,288.39713,1.0604681,291.13306,-9.75,0.0,-9.75,51.75,0.0,51.75,6.6288414,3.2599306,16.008299,3.6860187,0.78388935,5.2225723,2.5926256,0.6678069,4.541314,213.4030434373857,12.700164089823188,242.84232473373413,0.9418648462772228,0.1137116798719155,0.9999820192517596,0.035878763,0.02719757,0.12215549,0.035878763,0.02719757,0.12215549,0.02725594,0.020147478,0.08516898,0.02743937,0.020015886,0.08516898,0.08648787,0.09133539,0.40810302,63.92653893261421,50.21734646933832,242.8363262686271,15.483683600775892,242.8363262686271,63.92653893261421,51.75,-9.75,243.92653893261422,31.28650879347714,0.1,21.962005261916488,0.3,9.324503531560651,121.28650879347714,301.28650879347714,-57.35996986086292,-147.35996986086292,111.96200526191649,291.9620052619165,-48.03546632930227,-138.03546632930227
859,859,860,860.0,0.0,860,3.76579456213044,0.5448489740265032,5.179576396942139,10.181750599930924,0.4120193800371154,11.269246101379396,0.0065524476330454,0.000795780806778,0.0089050531387329,288.7168087842988,0.9573907604339956,291.014892578125,-10.0,0.0,-10.0,51.75,0.0,51.75,0.1540296571345926,0.0,0.1540296571345926,4.5848017,1.0157464,6.539463,3.1154904,0.84031147,5.513482,102307.05,303.69617,103163.125,0.008354838,0.0017296205,0.014289856,285.75162,0.7290346,287.646,101279.59,297.60217,102118.56,288.29138,0.957971,290.97095,-10.0,0.0,-10.0,51.75,0.0,51.75,9.740981,4.855826,23.225983,4.6044707,1.0205318,6.539463,3.149934,0.833065,5.513482,226.8330952830431,12.76651881544235,252.2792558670044,0.9532439799056122,0.0884484400847295,0.999998421847178,0.06410143,0.050111778,0.22293778,0.06410143,0.050111778,0.22293778,0.048247747,0.03597672,0.14971203,0.0487385,0.035666216,0.14971203,0.18774088,0.19840893,0.8590682,66.22776138491747,50.08540723943305,257.40606103274024,14.471296208963697,257.40606103274024,66.22776138491747,51.75,-10.0,246.22776138491747,40.056420521430425,0.1,39.44715454734313,0.3,0.6092659740872932,130.05642052143043,310.0564205214304,-63.828659136512954,-153.82865913651295,129.44715454734313,309.44715454734313,-63.21939316242566,-153.21939316242566
860,860,861,861.0,0.0,861,3.76579456213044,0.5448489740265032,5.179576396942139,10.181750599930924,0.4120193800371154,11.269246101379396,0.0065524476330454,0.000795780806778,0.0089050531387329,288.7168087842988,0.9573907604339956,291.014892578125,-10.0,0.0,-10.0,51.5,0.0,51.5,0.1497533819484558,0.0,0.1497533819484558,6.5159636,1.4204232,9.383701,3.907892,1.1027331,7.146783,102316.55,302.95038,103161.5,0.008329578,0.0016879054,0.013654709,286.1435,0.80147594,288.12842,102108.766,301.8503,102950.56,288.62753,0.85575277,291.02368,-10.0,0.0,-10.0,51.5,0.0,51.5,17.16568,8.400608,40.095303,6.552149,1.4373888,9.383701,3.9735494,1.0993043,7.146783,223.9100187522609,15.330685421317265,250.58731269836423,0.9361918788054812,0.0817641473186895,0.999994916235604,0.155839,0.11996758,0.54033446,0.15629634,0.119851224,0.54033446,0.10638378,0.08078696,0.37769046,0.10850879,0.07967459,0.37769046,0.5788891,0.5943468,2.560156,72.2527562583365,51.10062345487211,257.40606103274024,14.471296208963697,257.40606103274024,72.2527562583365,51.5,-10.0,252.2527562583365,253.44042663176987,0.15,256.4511392059649,0.3,3.010712574195054,343.44042663176987,163.44042663176987,88.81232962656662,-1.1876703734333773,346.4511392059649,166.45113920596492,85.80161705237157,-4.198382947628431
