,station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster
0,1,48.383,-4.495,399,0.019240621044500868,0.39667365024788215,0.1542821778416368,0.02486623352047279,0.960844211931903,0.04947829382467228,0.9988404982170831,3
1,10,45.56848,-1.061555,237,0.008877826293530868,0.39698127061141064,0.21311207976094948,0.03954844700774065,0.837822009083803,0.07624254359458887,0.9961538872962868,3
2,102,50.102,-5.542,377,0.09147074819442422,0.3824423705098201,0.13396064314709416,0.028605887808992647,0.9083926260236177,0.05321231161049683,0.9987358006552743,3
3,103,50.103,-5.54275,448,0.18267679432087996,0.4166295566368921,0.33817702551298656,0.1985557023293032,5.918325561280255e-16,0.3488770993472217,0.8335754787068778,1
4,104,50.099998,-5.53333,208,0.20722423425897712,0.3557246364509208,0.39780469974459665,0.22740503216395314,6.182796000093566e-10,0.42621606572918425,0.7796091759882743,1
5,108,50.6085,-2.447944,205,-0.29919410089062515,0.4263918007223583,0.2361928472389137,0.11099436553473419,0.01178887805220123,0.1998258497754244,0.9714611330297108,3
6,109,50.714333,-1.874861,171,0.20919152673832458,0.4530849036309236,0.4347385426061614,0.061573453849105175,0.5158222204965666,0.10199004652484908,0.9954403413849979,1
7,11,46.497358,-1.793528,217,-0.03558435265964244,0.3691947549997586,0.16542093085846726,0.052439252436061956,0.5712227876679248,0.0922383402491842,0.9941486592970197,3
8,111,50.7403,-1.50714,105,-0.6075712212350992,0.4428894434816706,0.22245302234240805,0.0861718463436687,0.3942927312739153,0.14948807883145376,0.9882528743498761,3
9,114,50.70888,-2.76411,71,-0.0015916372656461764,0.6764939362960088,0.4491753468766529,0.12964354689832872,0.16825967887061366,0.2315735981689571,0.9482298063264908,1
10,115,50.59419,-4.83437,79,0.1666023245306987,1.1442777049313766,0.2827630824126496,0.04576511311862308,0.9938907416007687,0.08430207668954987,0.996001550032402,4
11,12,47.277217,-1.8898,213,-0.04915425706369958,0.6805387222152965,0.27673800542589705,0.053283839041114,0.5625192346403777,0.10460313210948735,0.9891098785762911,1
12,120,50.9693985,1.86772001,308,0.14212896541776016,0.7273384286287202,0.26439802626396264,0.04553129709405701,0.5305847711269083,0.08562818484672868,0.9964328979336708,1
13,121,50.72738,1.57766,238,0.10172010166809073,0.735742689302981,0.28187437758985445,0.042667951679990546,0.7625423098737214,0.08087884862273714,0.9962419604503608,1
14,122,50.969501,1.8677,308,0.1419396347846442,0.7276494033863857,0.264416920889336,0.04785350640204422,0.46660638881211824,0.08774157038389696,0.9963227524681313,1
15,123,50.727501,1.5774,238,0.0986951135284228,0.7343081439571194,0.28125446344426963,0.04081894407067754,0.8071315183587883,0.08017588916051688,0.9963773144882602,1
16,124,50.783298,0.06667,205,-0.00018792697762538878,0.43183475785582015,0.15302876451711211,0.059515535003273445,0.4449934587098092,0.11516640958368779,0.9898439158761054,3
17,125,50.368401,-4.1852002,203,0.0334330188628673,0.3910876017883575,0.1375209791120469,0.04700581052942532,0.7425865813078877,0.08004559696585134,0.9965700114777133,3
18,126,50.8004,-1.1102,203,-0.05961326779690326,0.43997057512487026,0.1641270308372304,0.04197807052798619,0.8517485450560376,0.07320830114600863,0.9969059453310841,3
