station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster
1,48.383,-4.495,399,0.35442825236624664,3.270758927992574,0.24643510627888993,0.020557028482825035,0.9947612691998535,0.040231791652709514,0.9992580855605334,1
102,50.102,-5.542,377,0.2789287601783005,2.565488182144928,0.17939470908741362,0.02580549680283134,0.9576856117330332,0.051480348726578196,0.9990053493030138,1
104,50.099998,-5.53333,208,0.4410315360176805,2.5439088031355683,0.6834683033479305,0.2971057510513633,9.001422853160812e-17,0.5435411923986366,0.6355369883639364,7
108,50.6085,-2.447944,205,-0.7334637716957181,1.239877466757204,0.2949627665440946,0.17223540510502644,8.689330407618267e-06,0.26388604789362946,0.9205381068250947,4
11,46.497358,-1.793528,217,0.28013688672048986,2.2507824060438226,0.19809796121519535,0.03732702891686368,0.9117227358050787,0.06579392557763442,0.9977298472674438,1
111,50.7403,-1.50714,105,-0.779795043856563,1.0281940430171594,0.22036055172163982,0.11085400206417029,0.1403690186276435,0.1925472051144959,0.9665033298186458,4
114,50.70888,-2.76411,71,-0.16671492847450667,3.754909814836637,0.48873035249457053,0.18627460034477228,0.012496277422618607,0.2683762176998694,0.9388017189063932,1
115,50.59419,-4.83437,79,0.4975924219244562,4.238698031835344,0.060226719001947426,0.09860039107947863,0.400235482506495,0.17226181685503797,0.9763155694705683,1
12,47.277217,-1.8898,213,0.26668533974658226,2.7618302548867497,0.18208426940120803,0.05053888575368137,0.6294078413961474,0.10009774644333341,0.9922737810897904,1
120,50.9693985,1.86772001,308,0.24862840001610542,3.4000559207619387,0.2772053004063793,0.08242724700123635,0.02871115570772398,0.1584241124435782,0.9760096997094836,1
121,50.72738,1.57766,238,0.32843584142913346,4.1006813507413735,0.24738675136222293,0.041642794504846425,0.7875891027576952,0.08000173912708677,0.9973373498844518,2
122,50.969501,1.8677,308,0.2484104418236956,3.4006047358971383,0.2770964333830982,0.08267326964314506,0.02799545153433569,0.1584613216658244,0.975885106032441,1
123,50.727501,1.5774,238,0.3259096355861464,4.099538134206016,0.2467180980540486,0.04051649075262165,0.8141550421121564,0.08028826307305828,0.9972156995326019,2
124,50.783298,0.06667,205,0.3516653234422122,3.1792571658629534,0.25977731307766055,0.10499102576473318,0.0201866291904854,0.18305029322006106,0.9650148746243734,1
125,50.368401,-4.1852002,203,0.3385560414611118,2.277619858177891,0.190823731892521,0.039223908918429196,0.9013403383747876,0.07380171495717924,0.9979842178890407,1
126,50.8004,-1.1102,203,0.06849783473862145,1.8162002405873472,0.18981480807586393,0.07294226503036616,0.21933244613039438,0.1294308579077799,0.9909077980655414,4
127,50.607899,-2.4465001,204,0.5286302763920238,1.2933032236569049,0.16072496361967842,0.057441102103875374,0.493343726281089,0.10052796285496862,0.9917148663991171,3
128,50.7136,-1.8747,165,1.3114498088816293,0.5878618470538103,0.7306837505602023,0.34347703187725076,6.927950032432283e-18,0.5015129133026983,0.6383072634154919,5
129,50.651108,-1.1531577,112,0.5525955324560803,1.5682646541251126,0.004988247073013426,0.051749128647497755,0.9098202185593203,0.09800838433847231,0.9951690389915927,6
13,47.205383,-1.765133,213,0.1723378214476765,2.5423507783993693,0.18749242422728846,0.041020645660928334,0.8512987778116937,0.07679376918292868,0.9957960584201007,1
130,50.740292,-1.5071276,105,-0.27328658902702196,0.9699370134842289,0.185626681994831,0.06629363762268647,0.7199097703157655,0.1251473104051764,0.9897144741402971,4
131,50.609333,-1.949177,95,-0.1719256697595096,0.8294852268961611,0.19283764813674564,0.12819782699884996,0.08050502028232143,0.20181030692279966,0.9662655434981224,4
133,50.594177,-4.8344054,88,0.03166121386476631,3.6917019292997146,0.3842072285436141,0.11640568402551887,0.17011729195755376,0.17276873419816036,0.9790730232198169,1
14,47.19345,-1.633667,203,0.1732823584029689,2.533604029580684,0.22191564730448177,0.034269466674299864,0.9643773176677926,0.06390586294989051,0.9980398366373522,1
140,50.8839,-1.3931,226,0.2882716174131689,1.9483137485495268,0.22420308621770044,0.03679363973216787,0.908385213988337,0.06700325431182562,0.9974763882728472,1
141,50.802194,-1.11125,177,0.12772523402099578,2.039495010228626,0.15729624261434577,0.045989862182138797,0.8312550512389731,0.0896280875220648,0.9959005371907017,1
