,Unnamed: 0,wind_wave_alignment,lat,tp,lon,mwd,mwp,wind_dir,v10_abs,tau_v,msl,sp,v10,u10_abs,swh,station,extract_time,cluster
39,39,,48.383,0.00011062622,-4.495,,,34.70343,12.107391,1.9573315,98705.875,98473.58,12.107391,8.384628,,1,1959-03-05 01:00:00,4
40,40,,48.383,0.00025081635,-4.495,,,9.161045,9.378174,0.21182628,99582.44,99350.28,9.378174,1.5123901,,1,1959-04-14 16:00:00,3
41,41,,48.383,3.8146973e-06,-4.495,,,114.19558,1.8197479,-0.021357596,101545.125,101312.0,-1.8197479,4.0499573,,1,1959-06-24 15:00:00,2
42,42,,48.383,0.0001540184,-4.495,,,17.586472,7.5154724,0.21426497,100328.19,100097.484,7.5154724,2.3820953,,1,1959-08-13 18:00:00,3
43,43,,48.383,0.0009970665,-4.495,,,324.62192,6.7440033,0.34685245,100004.875,99772.14,6.7440033,4.7888336,,1,1959-11-19 16:00:00,7
44,44,,48.383,0.00012111664,-4.495,,,337.90475,14.054016,1.7945896,97213.81,96985.05,14.054016,5.7053833,,1,1959-12-07 03:00:00,7
45,45,,48.383,0.00034856796,-4.495,,,190.85744,3.9996796,-0.019543484,99578.44,99343.06,-3.9996796,0.7671356,,1,1960-02-25 00:00:00,1
46,46,,48.383,0.0,-4.495,,,77.655754,1.4027252,0.020084558,99963.19,99727.625,1.4027252,6.4096985,,1,1960-04-03 16:00:00,1
47,47,,48.383,0.0005464554,-4.495,,,26.168123,9.824692,0.7420703,100745.125,100513.12,9.824692,4.8275604,,1,1960-07-17 03:00:00,3
48,48,,48.383,0.00046348572,-4.495,,,319.95834,2.4657135,0.02006144,100509.375,100275.984,2.4657135,2.0720367,,1,1960-08-13 16:00:00,7
49,49,,48.383,0.00016784668,-4.495,,,33.3952,4.4949493,0.095347546,98622.75,98392.88,4.4949493,2.9633331,,1,1960-11-01 16:00:00,3
50,50,,48.383,7.1525574e-06,-4.495,,,98.02838,2.3670197,-0.14973526,100424.56,100187.5,-2.3670197,16.78189,,1,1961-01-28 10:00:00,1
51,51,,48.383,8.010864e-05,-4.495,,,22.315165,11.830048,1.0821506,100683.94,100447.484,11.830048,4.8555145,,1,1961-02-06 04:00:00,3
52,52,,48.383,0.00088882446,-4.495,,,170.71603,11.069534,-0.353104,99419.5,99185.33,-11.069534,1.8095245,,1,1961-04-25 20:00:00,6
53,53,,48.383,0.00041866302,-4.495,,,115.12755,3.663803,-0.16698739,98858.25,98629.86,-3.663803,7.8115997,,1,1961-07-12 14:00:00,1
54,54,,48.383,0.0019259453,-4.495,,,34.646652,4.280548,0.08631594,99776.94,99545.61,4.280548,2.9580994,,1,1961-08-08 00:00:00,3
55,55,,48.383,0.00029945374,-4.495,,,22.331717,12.562988,1.2970723,100232.75,100001.08,12.562988,5.1605835,,1,1961-10-24 08:00:00,3
56,56,,48.383,0.0011162758,-4.495,,,64.82329,8.204254,1.8708379,99484.625,99252.03,8.204254,17.453339,,1,1962-01-12 04:00:00,4
57,57,,48.383,0.0012898445,-4.495,,,306.6011,9.720444,1.9693679,100212.06,99970.21,9.720444,13.088058,,1,1962-03-07 14:00:00,7
58,58,,48.383,0.0007753372,-4.495,,,95.83272,1.5328827,-0.05615051,99488.75,99254.56,-1.5328827,15.005707,,1,1962-04-04 12:00:00,1
59,59,,48.383,0.0,-4.495,,,17.317402,5.774338,0.0956005,101648.81,101414.26,5.774338,1.8004303,,1,1962-06-17 23:00:00,2
60,60,,48.383,0.002632141,-4.495,,,14.725059,12.264679,0.77213675,99667.31,99436.555,12.264679,3.2233124,,1,1962-09-30 00:00:00,3
61,61,,48.383,0.00019741058,-4.495,,,186.74678,4.165634,-0.013617912,98784.19,98551.42,-4.165634,0.49279785,,1,1962-11-05 04:00:00,1
62,62,,48.383,0.00037670135,-4.495,,,307.54422,1.6310425,0.008990855,98636.06,98400.14,1.6310425,2.122223,,1,1962-12-30 01:00:00,7
63,63,,48.383,0.00049448013,-4.495,,,49.87026,5.0084534,0.23734517,97116.06,96887.22,5.0084534,5.9414673,,1,1963-03-11 10:00:00,3
64,64,,48.383,0.00013446808,-4.495,,,19.307608,13.985535,1.5262002,99889.69,99656.4,13.985535,4.8997498,,1,1963-04-20 13:00:00,3
65,65,,48.383,1.04904175e-05,-4.495,,,206.4979,3.7150726,-0.040707804,101025.125,100794.39,-3.7150726,1.8520966,,1,1963-06-09 15:00:00,2
66,66,,48.383,9.536743e-07,-4.495,,,226.6616,3.599533,-0.07870847,101728.375,101494.95,-3.599533,3.8146057,,1,1963-09-16 12:00:00,2
67,67,,48.383,0.0007658005,-4.495,,,10.604178,16.99939,1.4646457,99143.19,98912.08,16.99939,3.1826324,,1,1963-11-10 23:00:00,4
68,68,,48.383,0.00066280365,-4.495,,,284.018,2.008545,0.051685963,99948.19,99713.09,2.008545,8.045074,,1,1963-12-03 15:00:00,1
69,69,,48.383,6.484985e-05,-4.495,,,356.81097,10.410095,0.100098975,99201.75,98968.64,10.410095,0.5800171,,1,1964-02-26 13:00:00,7
70,70,,48.383,0.00010728836,-4.495,,,59.827522,3.5681,0.124433465,99752.06,99516.84,3.5681,6.13739,,1,1964-04-21 00:00:00,1
71,71,,48.383,0.00011777878,-4.495,,,43.90561,6.8687134,0.49671918,101013.0,100778.87,6.8687134,6.611206,,1,1964-06-07 05:00:00,3
72,72,,48.383,6.246567e-05,-4.495,,,20.358393,13.36499,1.4107225,99549.25,99320.94,13.36499,4.9593506,,1,1964-08-17 11:00:00,3
73,73,,48.383,0.0011081696,-4.495,,,83.05673,2.289383,0.1569137,97926.0,97700.47,2.289383,18.799423,,1,1964-10-09 10:00:00,0
74,74,,48.383,0.00012350082,-4.495,,,57.226997,4.9682465,0.30335078,97863.625,97633.164,4.9682465,7.7171936,,1,1965-01-20 04:00:00,3
75,75,,48.383,0.00021028519,-4.495,,,153.2247,4.5575714,-0.07607167,98970.31,98733.66,-4.5575714,2.2997284,,1,1965-03-04 14:00:00,1
76,76,,48.383,0.00052022934,-4.495,,,50.519135,6.4796906,0.52593654,100581.125,100346.664,6.4796906,7.8658447,,1,1965-05-03 13:00:00,1
77,77,,48.383,0.001098156,-4.495,,,158.65881,8.464874,-0.37739632,99951.0,99718.86,-8.464874,3.3073273,,1,1965-06-16 14:00:00,6
78,78,,48.383,0.00048208237,-4.495,,,199.22363,5.883728,-0.113106646,99005.69,98773.99,-5.883728,2.051651,,1,1965-09-25 09:00:00,1
79,79,,48.383,0.0034456253,-4.495,,,15.171376,15.527176,1.616511,97803.5,97575.33,15.527176,4.210312,,1,1965-11-29 03:00:00,4
80,80,,48.383,4.4345856e-05,-4.495,,,93.11437,0.55477905,-0.0049976176,98479.31,98247.2,-0.55477905,10.19632,,1,1966-01-22 16:00:00,1
