station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster
1,48.383,-4.495,399,0.01908539814271125,0.3972181862293658,0.15421379956884057,0.025687323312849397,0.9487972748142635,0.04984515780997495,0.9988333059581292,2
102,50.102,-5.542,377,0.09173043763979885,0.38066128775317587,0.13405778564609783,0.028649219933803427,0.9074646820145352,0.051863393334624586,0.9987602618341367,2
104,50.099998,-5.53333,208,0.21597727677660478,0.20232369327913396,0.3975834211505812,0.22069839258792234,2.2293646737848217e-09,0.4313820259244942,0.7708088463613092,4
108,50.6085,-2.447944,205,-0.29123196767731097,0.47277558579755774,0.2385580731779617,0.11309366382231356,0.009698688770203157,0.20233191432880993,0.9701233863059977,4
11,46.497358,-1.793528,217,-0.04489874846720822,0.4037078104159848,0.16343284454047405,0.057892430853117016,0.4444548705671377,0.11099310557214978,0.9936657923908447,2
111,50.7403,-1.50714,105,-0.5969825265168291,0.29482765606814315,0.22026949287248349,0.08665997114134316,0.38739245570086,0.14765173088506123,0.989563513852619,4
114,50.70888,-2.76411,71,0.0018741471397433866,0.7148504732742902,0.4504124236782175,0.12493207014190627,0.20020234968894102,0.22628754430347947,0.9487278552778937,1
115,50.59419,-4.83437,79,0.1664123541711166,1.1518933188195184,0.28279738559034234,0.04490311236395539,0.9951874055859761,0.08342521058469343,0.9960444511917647,1
12,47.277217,-1.8898,213,-0.04894537540588986,0.6829272298981919,0.27677201084569447,0.05336899239912479,0.5604740648403399,0.10479771664576781,0.9890856335246018,1
120,50.9693985,1.86772001,308,0.14173456847867838,0.7299682339759972,0.2643279997990854,0.045476892009403636,0.5321257497916798,0.08290837553273761,0.9964615534580948,4
121,50.72738,1.57766,238,0.10188508259958239,0.7319932556234797,0.2818638333007581,0.042671402329834074,0.7624568147365467,0.08066487068230593,0.9962454517852173,1
122,50.969501,1.8677,308,0.14141306755166838,0.72927429943821,0.2643516868615058,0.046983056451049277,0.49014887674871366,0.08489918313216133,0.9963511445395318,4
