station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster
1,48.383,-4.495,399,0.0190853981427112,0.3972181862293658,0.1542137995688405,0.0256873233128493,0.9487972748142636,0.0498451578099749,0.9988333059581292,1
102,50.102,-5.542,377,0.0917304376397988,0.3806612877531758,0.1340577856460978,0.0286492199338034,0.9074646820145352,0.0518633933346245,0.9987602618341368,1
104,50.099998,-5.53333,208,0.2159772767766047,0.2023236932791339,0.3975834211505812,0.2206983925879223,2.2293646737848213e-09,0.4313820259244942,0.7708088463613092,1
108,50.6085,-2.447944,205,-0.2912319676773109,0.4727755857975577,0.2385580731779617,0.1130936638223135,0.0096986887702031,0.2023319143288099,0.9701233863059976,1
11,46.497358,-1.793528,217,-0.0448987484672082,0.4037078104159848,0.163432844540474,0.057892430853117,0.4444548705671377,0.1109931055721497,0.9936657923908448,1
111,50.7403,-1.50714,105,-0.5969825265168291,0.2948276560681431,0.2202694928724834,0.0866599711413431,0.38739245570086,0.1476517308850612,0.989563513852619,1
114,50.70888,-2.76411,71,0.0018741471397433,0.7148504732742902,0.4504124236782175,0.1249320701419062,0.200202349688941,0.2262875443034794,0.9487278552778936,3
115,50.59419,-4.83437,79,0.1664123541711166,1.1518933188195184,0.2827973855903423,0.0449031123639553,0.995187405585976,0.0834252105846934,0.9960444511917648,3
12,47.277217,-1.8898,213,-0.0489453754058898,0.6829272298981919,0.2767720108456944,0.0533689923991247,0.5604740648403399,0.1047977166457678,0.9890856335246018,3
120,50.9693985,1.86772001,308,0.1417345684786783,0.7299682339759972,0.2643279997990854,0.0454768920094036,0.5321257497916798,0.0829083755327376,0.9964615534580948,3
121,50.72738,1.57766,238,0.1018850825995823,0.7319932556234797,0.2818638333007581,0.042671402329834,0.7624568147365467,0.0806648706823059,0.9962454517852172,3
122,50.969501,1.8677,308,0.1414130675516683,0.72927429943821,0.2643516868615058,0.0469830564510492,0.4901488767487136,0.0848991831321613,0.9963511445395318,3
