,Unnamed: 0,station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster,DU,CODE_1_18,CODE_2_18,CODE_3_18,CODE_4_18,CODE_5_18,COMMENT_18
46,46,164,51.57,-3.975472,18,0.8891172719476106,0.1121603792905484,0.1258035555669,0.1734935917602472,0.5910013292057548,0.2598967763666853,0.9537004252731413,5,4,8,84,842,8420,84200,
47,47,165,51.5,-2.72847222,93,0.8914064050246874,0.8995921507840083,0.750971170549415,0.2608206086937527,4.531517218419854e-06,0.5196755359591505,0.800983344029571,2,4,8,84,842,8420,84200,
48,48,166,51.38198,1.11553,173,0.1653611280413981,0.91607282361724,0.3656076986365733,0.0474056795239232,0.8138811215765983,0.0902052522315625,0.995699839217932,4,4,8,84,842,8420,84200,
49,49,167,51.22378,1.40923,115,-0.1182328546250537,0.6438864810612708,0.2430752751325388,0.0680001908722256,0.6370667605374238,0.1206702595983603,0.99223293442152,1,4,8,84,842,8420,84200,
50,50,168,51.57012,-2.70001,76,0.7330385768257192,1.5959067595408318,0.3010374820288384,0.0743864963930086,0.7661369849133244,0.1233109069508503,0.9884571377753096,2,4,8,84,842,8420,84200,
51,51,17,47.305667,-2.0883,165,0.0994981003280412,0.5606634055502338,0.2794897737075363,0.0323393436528054,0.9931478371666188,0.0633252972664571,0.9975924022742194,1,4,8,83,832,8320,83200,
52,52,170,51.048091,2.366698,364,0.113839080759367,0.7567614821260945,0.3045261672123013,0.0387016170900184,0.6323636938875219,0.0727292027693073,0.9974048998029834,1,4,1,12,123,1231,12310,
53,53,172,51.399148,4.209993,288,0.4111324001521646,1.1433167458546365,0.4501857019888886,0.0704096827724776,0.1096475511984799,0.136801369057178,0.9825822161386212,4,4,7,72,723,7230,72300,
54,54,173,51.506519,4.249998,124,0.2446775294233714,1.3711305536699396,0.4164705757128781,0.0842012476145143,0.3245985843568234,0.1502815466810945,0.9801293679217116,4,4,7,72,723,7230,72300,
55,55,174,51.511332,4.165743,175,0.0698600155716616,0.8968330624854921,0.3484317819976728,0.0916207403111099,0.0994647565968929,0.1594250111741462,0.9804725017647796,4,4,8,81,811,8110,81100,
56,56,175,51.399115,3.564552,80,0.1806702493746619,0.9321341728683676,0.3954356261975275,0.0986932117982122,0.3915420458390536,0.1661372206019941,0.9832289393366588,4,4,6,61,611,6110,61100,
57,57,178,51.750754,3.811483,234,0.1837263846794612,0.9399774091376144,0.3821851171542862,0.0575049651409257,0.406166359651153,0.1069626994692006,0.98966260588766,4,4,8,84,842,8420,84200,
58,58,179,51.655118,4.102756,153,0.2475433260593261,1.00435860059911,0.4147604587774537,0.0716779665136664,0.3929874896953486,0.1429477951250978,0.9837573142819752,4,4,4,41,410,4100,41000,
59,59,18,47.542676,-2.895167,133,0.0954960094438953,0.3784412014517154,0.1915306394827979,0.0654798779681912,0.5951511825814557,0.1192785719867886,0.9856026621344202,3,4,8,84,842,8420,84200,
60,60,180,51.675798,3.756442,98,0.2107592258102359,0.8830279594012833,0.4006440254222183,0.0744841671682416,0.6213429092558069,0.1327243571225358,0.9890759004180426,4,4,1,12,123,1235,12350,
61,61,181,51.379296,3.376275,288,0.1380160840446438,0.8753542027207666,0.3602301955053111,0.070120951005021,0.1122644850761382,0.1122322814064178,0.9901958854742337,4,4,8,84,842,8420,84200,
62,62,183,51.60088,3.85938,97,0.2346436723638056,0.9042868166704028,0.421825275917713,0.1085331400601975,0.1889749973768433,0.1563916605717956,0.9818568005437044,4,4,8,83,832,8320,83200,
63,63,19,47.873549,-3.907207,154,0.0955219173170182,0.3529002702282084,0.1541275191474267,0.055401800795078,0.7105473705046119,0.1012026629397428,0.9941879464133456,3,4,1,12,123,1236,12360,
64,64,194,51.445556,4.006959,347,0.164194435243596,1.0227720467288128,0.3845748280108555,0.0818098245845587,0.0181284431036284,0.1457951798072896,0.9794259463459736,4,4,4,41,410,4100,41000,
65,65,195,51.863131,3.860766,214,0.100442168477196,0.7982228235288904,0.3285494628495098,0.0562135651078831,0.4907696448028837,0.0925768239884811,0.9929575657882416,1,4,8,84,841,8410,84100,
66,66,196,51.835992,4.054941,70,0.5285359487762056,0.4410223564112304,0.1864943336726868,0.0587321258374029,0.9575313850127198,0.1101399560626403,0.9937599666931828,5,4,8,81,811,8110,81100,
67,67,197,51.829224,4.04484,98,0.3942320386019021,1.0995118867836269,0.4407735080460531,0.0752365581547483,0.6088090743126167,0.1402675826913523,0.9837244205627672,4,4,1,12,121,1210,12100,
