station,MAE,RMSE,R2,MAPE_%
1,0.051305671425528214,0.06550218080789051,0.769843559567496,384.01978007437174
2,0.05685232266617724,0.07223332471492981,0.764437899536053,326.5269318457394
3,0.11584635725657112,0.23165591465849317,0.1783169740695587,316.0706886821408
4,0.10855463818274336,0.1316570432101757,0.33769235148642796,458.1356233728422
5,0.12350080453592002,0.15060307209936263,0.3599301056086994,773.5208489474544
6,0.09772070671334403,0.19547459107991466,0.23281568177252943,439.77201873109664
7,0.06321300835731786,0.08140620496578263,0.7081243418243781,302.16638188328403
8,0.05646188549276664,0.07384754582048016,0.6693473702157346,289.67664026124885
10,0.16857333739228542,0.20242983080668733,0.20290052406830728,495.472829374134
