,0
msl,1.597138484319051
sp,1.540795322921541
t2m,0.20772743142313427
mwd,0.19903107028868464
swh,0.1661902235613929
tide_lag6h,0.16573075049867234
tide_lag1h,0.16015943605452776
sst,0.15666241571307182
v10,0.1538618914783001
d2m,0.14566078037023544
mwp,0.11785380976895492
u10,0.10632113822632366
d_sp_6h,0.10418024328019884
wind_speed,0.10154848463005489
d_wind_6h,0.08320707827806473
tp,0.0797462613425321
d_sp_1h,0.07561244815587997
d_wind_1h,0.05744509109192424
tide_range_12h,0.0
