,coastal_vs_bay_diff_deg,wind_to_mean_deg,wind_wave_alignment_std,wind_wave_alignment_mean,wind_wave_alignment_q95,wind_wave_alignment_annmaxmax,wind_wave_alignment_q99,coastal_normal2_deg,bay_normal2_deg,wind_wave_alignment_annmaxmean,bay_bearing_deg,coastal_bearing_deg,wind_dir_annmaxmax,wind_vs_coastal_normal_diff_deg,coastal_normal1_deg,bay_normal1_deg,wind_vs_bay_normal_diff_deg,v10_abs_annmaxmax,wind_wave_diff_annmaxmean,tide_std,wind_wave_diff_annmaxmax,tide_mean,sp_std,wind_more_bayshore_deg,msl_std,station
0,0.0161208576227238,287.8116,,,,,,147.672610261604,147.68873111922673,,237.68873111922673,237.672610261604,359.77692,-39.86099527136963,327.672610261604,327.68873111922676,-39.877116128992384,20.684235,,1.4742391871136888,,-0.3323069801181359,1173.4281,50.122883871007645,1175.2799,1
1,3.422661868969783,285.32278,,,,,,147.67351606888667,151.09617793785645,,241.09617793785645,237.67351606888667,359.83902,-42.350731645058545,327.67351606888667,331.09617793785645,-45.77339351402833,20.684235,,1.457301559064316,,-0.3362679602025297,1169.6245,44.22660648597167,1171.4858,2
2,0.0161205914724575,286.94376,,,,,,147.67262524279437,147.68874583426685,,237.68874583426685,237.67262524279437,359.77692,-40.72886913927874,327.67262524279437,327.6887458342668,-40.74498973075117,20.684235,,1.4584674983562858,,-0.3552503922333602,1194.3428,49.2550102692488,1196.4369,3
3,0.0938656317439097,324.8544,0.7097621,-0.018945914,0.9826715916395188,0.99997133,0.9995660275220872,147.90055861903517,147.99442425077908,0.78094524,237.99442425077908,237.90055861903517,359.5308,-3.0461579842695414,327.90055861903517,327.99442425077905,-3.1400236160134227,17.26149,201.81592,1.3245895037983015,258.16098,-0.5194574485579807,1123.1482,86.85997638398658,1123.387,4
4,0.5817810403423778,341.98077,0.7103789,-0.047405113,0.9544855892658232,0.999954,0.9982327270507814,268.5480521448369,267.9662711044945,0.71474785,357.9662711044945,358.5480521448369,359.48685,73.43272178094435,88.5480521448369,87.96627110449452,74.01450282128673,17.875671,189.02953,1.1942909425552408,290.2504,-0.2749201934048391,1209.1418,-15.985497178713274,1209.4318,5
5,9.521191967951552,290.58502,0.70437527,-0.038964447,0.98713960647583,0.9999958,0.999610071182251,181.73142210403228,191.25261407198383,0.73320764,281.2526140719838,271.7314221040323,358.90543,-71.14640013137603,1.7314221040322764,11.252614071983828,-80.66759209932758,19.803558,203.59277,1.04558379779488,277.53287,-0.1944654455814205,1169.8994,9.332407900672422,1170.3413,6
6,5.429728159455124,287.70566,,,,,,257.9072213098951,252.47749315043995,,342.47749315043995,347.9072213098951,359.01233,29.798436649089297,77.90722130989508,72.47749315043995,35.22816480854442,20.24858,,1.599716234621445,,-0.1682019797306647,1172.4052,-54.77183519145558,1172.9807,7
7,28.321516168441832,286.8001,0.72279394,0.017507462,0.982728999853134,0.9999762,0.9992707073688508,103.91009250125492,75.58857633281309,0.87267184,165.5885763328131,193.91009250125492,358.29785,2.890017362026356,283.9100925012549,255.5885763328131,31.21153353046816,18.794449,220.49303,1.941137782214886,278.03827,-0.7539063559495583,1149.693,121.21153353046816,1151.1494,8
8,4.32953043561713,337.40912,0.71434176,-0.008314801,0.9831622838974,0.9999998,0.9995534455776216,247.8120748095897,252.1416052452068,0.74708265,342.1416052452068,337.81207480958966,358.46628,89.59704384275409,67.81207480958966,72.14160524520679,85.26751340713696,16.904022,190.58023,1.2718571615429994,262.52597,-0.5212948054328804,1202.9658,-4.73248659286304,1204.1306,9
9,9.02138487319172,341.3343,0.6987231,-0.026923055,0.9908595561981202,0.9994832,0.999175751209259,38.12372905901981,47.14511393221153,0.7696333,137.14511393221153,128.1237290590198,359.23276,-56.78943950823856,218.1237290590198,227.14511393221153,-65.81082438143028,15.601959,188.91464,1.1056117135465524,267.02652,-0.2159566760383346,1195.6288,-155.81082438143028,1196.9045,10
