quantile,n,param1,param2,param3,r2,ks
0.1,63013,0.93570358536523,-0.22639583415837744,0.05917772803684488,0.9986340519780336,0.00837527532756216
0.2,126025,0.9098377279120784,-0.18217800123990116,0.06510628181168072,0.9986951330182232,0.011117320525872443
0.30000000000000004,189037,0.8699331321399646,-0.1540368944959974,0.07048377061339672,0.9988534644693379,0.011805451055805327
0.4,252049,0.8323072373398862,-0.1320926731249065,0.07635530183349545,0.9983400060851517,0.016425157510880473
0.5,315062,0.7912457066924878,-0.11355250611967063,0.08259131698728298,0.9976916106615952,0.020811528330400286
0.6,378074,0.7417382968727647,-0.09722646157980311,0.08929795522602776,0.9971306112941041,0.023090183883546833
0.7000000000000001,441086,0.6756581637366765,-0.08268812553769506,0.09656926963442572,0.9970630267664972,0.023144262418327233
0.8,504098,0.5828923142660627,-0.06987114179992228,0.104761869744014,0.9976472258307776,0.021229047865584494
0.9,567111,0.4512509203409237,-0.05895262239547745,0.11470316635958774,0.9983967577738089,0.016979389060766348
1.0,630123,0.14467587738084836,-6.859330899352528e-07,0.14469882991713687,0.9965464814678757,0.18355211717915798
