quantile,n,param1,param2,param3,r2,ks
0.1,19232,250.5872790002723,-1.5391764029814938,0.0049798779752120645,0.8551356799674903,0.14844970248094513
0.2,38464,288.8067037293755,-1.688558588593883,0.005049836664337058,0.8771977250257088,0.14003951057609298
0.30000000000000004,57696,35.93320770533077,-0.8364106518002035,0.018055429629890513,0.8593740384103284,0.1766278656864515
0.4,76927,80.03003596496504,-1.0735941829415534,0.011387505244256777,0.8872661154535195,0.13017368339480395
0.5,96159,51.99411265221386,-0.9910137908737027,0.0165277301975644,0.8947247000750369,0.14963271549942847
0.6,115391,236.00204587636125,-1.7693043885238255,0.007032234155414253,0.9253900977532294,0.09985418307017668
0.7000000000000001,134622,228.0267119114527,-1.8531252634467252,0.007746136450960998,0.9398413461119902,0.08872451752055421
0.8,153854,29.04489265038812,-0.770968871200844,0.024370227042137163,0.9376716021747362,0.08033525417977927
0.9,173086,148.0784421866337,-1.756491367748258,0.011602101080278766,0.9816609529391046,0.04359538192056339
1.0,192318,70.86351518230019,-1.4612251645032392,0.020620332174841584,0.9952357996420252,0.02700021356213811
