quantile,n,param1,param2,param3,r2,ks
0.1,11984,1.0524339855800202,-0.2564894709464283,0.08376202178871925,0.9841573971097379,0.024437343737932826
0.2,23967,0.9911822207017316,-0.20195650989157335,0.08341072952497947,0.9851772165302495,0.0166650498632874
0.30000000000000004,35950,0.9456056664820911,-0.16881807705204682,0.08602687561979577,0.9904812312483587,0.013831848285218662
0.4,47933,0.8988035390915192,-0.1441304384811744,0.09013896690240776,0.9949698814979203,0.01488372396241111
0.5,59916,0.8496579803263247,-0.12379243076012936,0.09538305618259346,0.9968980893212481,0.016532509377691018
0.6,71899,0.7902868163454608,-0.10625986537338991,0.10180525088998468,0.9973543201702052,0.020859005474036962
0.7000000000000001,83882,0.7195970610084075,-0.09055051097698105,0.109446215212549,0.9973313736617857,0.02317362620965846
0.8,95865,0.6231682453676635,-0.07669668749737305,0.11877748942607165,0.9970703046443165,0.025831394875861058
0.9,107848,0.4791603016354744,-0.06534396782736004,0.13104470497856516,0.9965611948038574,0.027299198743277575
1.0,119832,0.13291509880683994,1.9716987255153669e-07,0.17364828164104407,0.9919937207855101,0.20561609198328634
